# Pion Beam-Spin Asymmetry (KIN-15) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  1548.000000  39.471559  1523.000000  39.217370  0.008141  0.018118 
-158.40  1382.250000  37.325440  1514.250000  39.069635  -0.045572  0.018635 
-144.00  1107.000000  33.421545  1231.250000  35.226903  -0.053138  0.020738 
-129.60  762.250000  27.693634  878.250000  29.756255  -0.070710  0.024715 
-115.20  313.250000  17.760542  388.500000  19.757891  -0.107232  0.037644 
-100.80  62.000000  7.874010  93.750000  9.698579  -0.203852  0.078498 
-86.40  7.000000  2.645746  12.000000  3.464101  -0.263158  0.221329 
-72.00  2.000000  1.414214  1.000000  1.000000  0.333333  0.544331 
-57.60  0.000000  0.000000  0.000000  0.000000  nan  nan 
-43.20  1.000000  1.000000  1.000000  1.000000  0.000000  0.707107 
-28.80  0.000000  0.000000  0.000000  0.000000  nan  nan 
-14.40  0.000000  0.000000  0.000000  0.000000  nan  nan 
0.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
14.40  0.000000  0.000000  0.000000  0.000000  nan  nan 
28.80  0.000000  0.000000  0.000000  0.000000  nan  nan 
43.20  0.000000  0.000000  0.000000  0.000000  nan  nan 
57.60  0.000000  0.000000  0.000000  0.000000  nan  nan 
72.00  2.000000  1.414214  2.000000  1.414214  0.000000  0.500000 
86.40  5.250000  2.487469  7.750000  2.839451  -0.192308  0.288393 
100.80  102.500000  10.155050  65.250000  8.135572  0.222057  0.075700 
115.20  272.000000  16.605727  205.000000  14.404864  0.140461  0.045624 
129.60  567.250000  23.915189  517.750000  22.897865  0.045622  0.030487 
144.00  942.250000  30.833245  885.250000  29.873714  0.031190  0.023480 
158.40  1215.500000  34.962453  1157.000000  34.143118  0.024658  0.020592 
172.80  1490.750000  38.711283  1455.500000  38.289990  0.011964  0.018480 
