# Kaon Beam-Spin Asymmetry (KIN-15) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  532.750000  23.196193  619.000000  24.954943  -0.074886  0.029503 
-158.40  495.250000  22.359254  550.250000  23.530532  -0.052606  0.031007 
-144.00  450.250000  21.299914  463.500000  21.601462  -0.014501  0.033197 
-129.60  319.250000  17.928678  332.500000  18.354145  -0.020330  0.039357 
-115.20  131.000000  11.500001  133.000000  11.586627  -0.007576  0.061835 
-100.80  28.750000  5.390964  33.750000  5.836309  -0.080000  0.126723 
-86.40  6.000000  2.449486  6.500000  2.669271  -0.040000  0.289065 
-72.00  3.000000  1.732051  1.000000  1.000000  0.500000  0.433013 
-57.60  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
-43.20  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
-28.80  0.000000  0.000000  0.000000  0.000000  nan  nan 
-14.40  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
0.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
14.40  0.000000  0.000000  0.000000  0.000000  nan  nan 
28.80  0.000000  0.000000  2.000000  1.414214  -1.000000  0.000000 
43.20  0.000000  0.000000  0.000000  0.000000  nan  nan 
57.60  1.000000  1.000000  2.000000  1.414210  -0.333333  0.544331 
72.00  2.000000  1.414214  2.000000  1.414214  0.000000  0.500000 
86.40  5.750000  2.462212  2.750000  1.750000  0.352941  0.335738 
100.80  50.000000  7.071068  34.750000  5.921361  0.179941  0.107135 
115.20  122.250000  11.155152  107.000000  10.404324  0.066521  0.066378 
129.60  267.000000  16.416457  245.000000  15.692354  0.042969  0.044311 
144.00  413.500000  20.441993  374.000000  19.467898  0.050159  0.035804 
158.40  470.250000  21.821767  492.500000  22.262588  -0.023111  0.032374 
172.80  599.000000  24.601805  551.000000  23.553124  0.041739  0.029588 
