#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
# BCM4A  | Beam Current Threshold: > 10.00 uA 
#                                     
# DAQ Mode: coin | Trigger: trig5              
# electron arm: HMS                        
#                                              
#---Acceptance Cuts--- 
# SHMS Momentum Acceptance (P.gtr.dp): [-10.000, 22.000] %
# HMS  Momentum Acceptance (H.gtr.dp): [-8.000, 8.000] %
#                                     
# ---Particle Identification (PID) Cuts---
# NOTE: Coincidence time background selection is done by averaging a sample (left) and (right) of the main coincidence peak, where the sample is assumed to have the same structure on both sides.
# The sample background is then scaled to the background underneath the main coin peak, and subtracted.
#                                              
# --> electrons (HMS): 
# HMS Cherenkov NPE Sum (H.cer.npeSum) >= 2.000
# HMS Calorimeter (H.cal.etottracknorm) Etot/Etrak >= 0.800
#                                              
# --> Kaons     (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  >= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.700, 1.300]
# eK Coincidence Time (CTime.eKCoinTime_ROC2): abs( eK_coin_peak - offset(43.530) ) <= 3.500 ns
# eK Coincidence Time Background: abs( eK_coin_peak - offset(43.530) ) > 3.500 && abs( eK_coin_peak - offset(43.530) ) <= (5.000 x 3.500) ns
# Kaon Missing Mass: [1.070, 1.155] GeV/c^2
#                                              
# --> Pions     (SHMS): 
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) >= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# ePi Coincidence Time (CTime.ePiCoinTime_ROC2): abs( ePi_coin_peak - offset(43.390) ) <= 2.900 ns
# ePi Coincidence Time Background: abs( ePi_coin_peak - offset(43.390) ) > 2.900 && abs( ePi_coin_peak - offset(43.390) ) <= (5.000 x 2.900) ns
# Pion Missing Mass: [0.890, 0.980] GeV/c^2
#                                              
# --> Protons   (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  <= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# eP Coincidence Time (CTime.epCoinTime_ROC2): abs( eP_coin_peak - offset(43.870) ) <= 3.300 ns
# eP Coincidence Time Background: abs( eP_coin_peak - offset(43.870) ) > 3.300 && abs( eP_coin_peak - offset(43.870) ) <= (5.000 x 3.300) ns
# Proton Missing Mass: [-0.300, 0.300] GeV/c^2
#                       
# Units: charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
#! Run[i,0]/             charge[f,1]/        avg_current[f,2]/            hTrkEff[f,3]/        hTrkEff_err[f,4]/            pTrkEff[f,5]/        pTrkEff_err[f,6]/    tgt_boil_factor[f,7]/     tgt_boil_factor_err[f,8]/      hadAbs_factor[f,9]/      hadAbs_factor_err[f,10]/             cpuLT[f,11]/      cpuLT_err_Bi[f,12]/     cpuLT_err_Bay[f,13]/               tLT[f,14]/        tLT_err_Bi[f,15]/       tLT_err_Bay[f,16]/          S1X_rate[f,17]/     shms_Ps1_3of4_rate[f,18]/    hms_Ps3_elreal_rate[f,19]/     coin_Ps5_rate[f,18]/         edtm_rate[f,19]/        Ps1_factor[f,20]/        Ps3_factor[f,21]/        Ps5_factor[f,22]/       hTrkEff_pos[f,23]/   hTrkEff_err_pos[f,24]/       hTrkEff_neg[f,25]/   hTrkEff_err_neg[f,26]/       pTrkEff_pos[f,27]/   pTrkEff_err_pos[f,28]/       pTrkEff_neg[f,29]/   pTrkEff_err_neg[f,30]/         edtm_accp[f,31]/       edtm_scaler[f,32]/        trig5_accp[f,33]/      trig5_scaler[f,34]/
   5040                  17.3604                  42.6059                 0.997167              0.000212345                 0.950642               0.00184075                        1                       -1                        1                       -1                  1.00038                     -nan                     -nan                 0.978165               0.00228911               0.00230025                  955.844                       207.259                       23.2933                 0.526346                0.0100033                     4097                      513                        1                 0.997007              0.000313724                 0.997276              0.000299026                 0.949213               0.00268419                 0.953531               0.00256191                     3987                     4076                   214548                   214467
   5041                  37.2444                  46.5634                 0.996638              0.000153603                 0.945513               0.00132464                        1                       -1                        1                       -1                   1.0003                     -nan                     -nan                 0.974878               0.00174956               0.00175325                  1112.41                       237.347                       25.7273                 0.619839                 0.010003                     4097                      513                        1                  0.99664              0.000219206                 0.996642              0.000219527                 0.944524               0.00190392                 0.946813               0.00187344                     7800                     8001                   495936                   495786
   5042                  138.929                  49.2602                 0.996539              8.09396e-05                 0.949075              0.000649903                        1                       -1                        1                       -1                   1.0003                     -nan                     -nan                 0.972951              0.000965907              0.000966438                  1095.19                       240.442                       26.8543                 0.647306                0.0100017                     4097                      513                        1                 0.996702              0.000112794                 0.996364              0.000118212                 0.949798              0.000919788                 0.948316              0.000933862                    27445                    28208              1.82615e+06               1.8256e+06
   5044                  96.5764                   46.534                  0.99668              9.68963e-05                 0.950394               0.00077651                        1                       -1                        1                       -1                  1.00031                     -nan                     -nan                 0.976201               0.00105796               0.00105888                  3096.41                       226.154                       25.3977                  0.58644                0.0100015                     4097                      513                        1                 0.996675              0.000138202                 0.996662              0.000138735                 0.951696               0.00109388                 0.949301               0.00111865                    20263                    20757              1.21747e+06              1.21709e+06
   5045                  56.4342                  40.6033                 0.996922               0.00012576                 0.952359               0.00101478                        1                       -1                        1                       -1                  1.00032                     -nan                     -nan                 0.980578               0.00117043               0.00117234                  912.077                       196.073                       22.1688                 0.471865                0.0100022                     4097                      513                        1                 0.997176              0.000171836                 0.996724              0.000184886                 0.951458               0.00146095                 0.953081               0.00143502                    13632                    13902                   656055                   655842
   5046                  137.229                  48.5282                  0.99671              8.00248e-05                 0.949403              0.000656163                        1                       -1                        1                       -1                  1.00033                     -nan                     -nan                 0.972067              0.000979832              0.000980348                  2602.89                        237.49                        26.524                 0.625306                0.0100013                     4097                      513                        1                 0.996785              0.000112904                 0.996619              0.000115617                 0.949913              0.000930257                   0.9491              0.000939372                    27492                    28282              1.76885e+06              1.76826e+06
   5047                  122.286                  47.7806                 0.996558              8.61555e-05                 0.948899              0.000694497                        1                       -1                        1                       -1                  1.00029                     -nan                     -nan                  0.97492              0.000977341              0.000977987                  1080.71                        234.93                       26.1381                 0.625263                0.0100018                     4097                      513                        1                 0.996641              0.000121291                 0.996484              0.000124088                 0.949399              0.000985756                  0.94838              0.000994357                    24956                    25598              1.60073e+06              1.60026e+06
   5048                  10.7954                  45.3391                 0.996291              0.000299869                 0.950232               0.00234607                        1                       -1                        1                       -1                  1.00024                     -nan                     -nan                 0.979018                 0.002936                0.0029615                  1030.44                       224.223                       24.8503                 0.598849                0.0100083                     4097                      513                        1                 0.996407              0.000423438                 0.996168              0.000436674                 0.951573               0.00331042                 0.951259               0.00333971                     2333                     2383                   142622                   142588
   5049                  7.27682                  35.4883                 0.996536              0.000392226                 0.959743               0.00264299                        1                       -1                        1                       -1                  1.00046                     -nan                     -nan                 0.980985               0.00301577               0.00304974                  808.285                       170.197                       19.4102                 0.361529                0.0100025                     4097                      513                        1                 0.997169              0.000508425                 0.995751              0.000619748                 0.959527               0.00380736                 0.960951               0.00372314                     2012                     2051                    74165                    74131
   5050                  97.5712                  46.3787                 0.996618              9.55895e-05                 0.946554              0.000804272                        1                       -1                        1                       -1                   1.0003                     -nan                     -nan                 0.974052               0.00109597               0.00109682                  1101.91                       235.513                       25.6452                 0.614582                0.0100019                     4097                      513                        1                 0.996687              0.000134911                 0.996517              0.000138315                 0.946911               0.00114682                 0.946116               0.00114803                    20496                    21042              1.29334e+06              1.29295e+06
